JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL
4578,195531,N,N,N,9152,9156,0.000000000000000,0
5136,195532,6,6,7,9826,10272,0.271028037000000,6
5138,195533,5,6,5,9829,10275,0.261682243000000,5
5138,195534,3,6,4,9829,10275,0.261682243000000,3
5138,195535,4,6,6,9829,10275,0.261682243000000,4
4578,195536,7,6,6,9152,9156,0.000000000000000,6
4581,195537,7,6,6,9158,9162,0.000000000000000,6
4578,195538,6,6,6,9152,9156,0.000000000000000,6
4581,195540,5,7,6,9158,9162,0.000000000000000,5
4642,195541,6,7,6,9186,9217,0.210280374000000,6
4647,195542,5,7,6,9192,9218,0.257009346000000,5
4647,195543,5,7,6,9192,9218,0.257009346000000,5
4642,195544,5,7,7,9186,9217,0.210280374000000,5
4647,195545,5,6,6,9192,9218,0.257009346000000,5
4647,195546,5,7,6,9192,9218,0.257009346000000,5
4642,195547,5,7,6,9186,9217,0.210280374000000,5
4642,195548,5,7,6,9186,9217,0.210280374000000,5
4647,195549,4,7,6,9192,9218,0.257009346000000,4
4642,195550,6,7,6,9186,9217,0.210280374000000,6
4647,195551,6,7,6,9192,9218,0.257009346000000,6
4647,195552,6,7,6,9192,9218,0.257009346000000,6
4642,195553,6,7,6,9186,9217,0.210280374000000,6
4642,195554,6,7,6,9186,9217,0.210280374000000,6
4647,195555,6,7,6,9192,9218,0.257009346000000,6
4626,195556,5,7,6,9217,9251,0.210280374000000,5
4629,195557,5,7,6,9218,9254,0.471962617000000,5
4626,195558,5,7,6,9217,9251,0.210280374000000,5
4629,195559,5,7,6,9218,9254,0.471962617000000,5
4629,195560,5,7,6,9218,9254,0.471962617000000,5
4626,195561,5,7,6,9217,9251,0.210280374000000,5
4629,195562,5,7,6,9218,9254,0.471962617000000,5
4626,195563,5,7,6,9217,9251,0.210280374000000,5
4626,195564,5,7,6,9217,9251,0.210280374000000,5
4629,195565,5,7,6,9218,9254,0.471962617000000,5
4626,195566,5,7,6,9217,9251,0.210280374000000,5
4629,195567,5,7,6,9218,9254,0.471962617000000,5
4626,195568,4,5,6,9217,9251,0.210280374000000,4
4595,195571,5,8,6,9167,9186,0.261682243000000,5
4598,195572,4,6,7,9169,9192,0.280373832000000,4
4595,195573,6,5,7,9167,9186,0.261682243000000,5
4587,195574,5,7,6,9158,9169,0.140186916000000,5
4593,195575,5,7,6,9167,9186,0.261682243000000,5
4587,195576,5,7,6,9158,9169,0.140186916000000,5
4584,195577,5,8,6,9152,9167,0.299065421000000,5
4587,195578,7,7,7,9158,9169,0.140186916000000,7
4584,195579,6,5,7,9152,9167,0.299065421000000,5
4587,195580,7,7,6,9158,9169,0.140186916000000,6
4587,195581,5,7,6,9158,9169,0.140186916000000,5
4584,195582,5,7,6,9152,9167,0.299065421000000,5
4587,195583,6,7,6,9158,9169,0.140186916000000,6
4584,195584,5,7,6,9152,9167,0.299065421000000,5
4626,195585,5,7,6,9217,9251,0.210280374000000,5
4626,195586,5,8,6,9217,9251,0.210280374000000,5
4581,195587,N,N,N,9158,9162,0.000000000000000,0
4647,195588,5,8,5,9192,9218,0.257009346000000,5
4647,195589,5,7,6,9192,9218,0.257009346000000,5
4642,195590,6,7,6,9186,9217,0.210280374000000,6
4647,195591,5,7,6,9192,9218,0.257009346000000,5
4642,195592,5,7,6,9186,9217,0.210280374000000,5
4647,195593,6,5,6,9192,9218,0.257009346000000,5
4642,195594,6,5,5,9186,9217,0.210280374000000,5
4626,195595,7,3,6,9217,9251,0.210280374000000,3
4629,195596,7,5,6,9218,9254,0.471962617000000,5
4626,195597,7,3,6,9217,9251,0.210280374000000,3
4629,195598,7,3,6,9218,9254,0.471962617000000,3
4626,195599,7,5,6,9217,9251,0.210280374000000,5
4629,195600,7,5,6,9218,9254,0.471962617000000,5
4626,195601,7,5,6,9217,9251,0.210280374000000,5
4629,195602,7,5,6,9218,9254,0.471962617000000,5
4629,195603,7,7,5,9218,9254,0.471962617000000,5
3214,195604,N,N,N,6149,6152,0.186915888000000,0
3214,195605,7,7,7,6149,6152,0.186915888000000,7
3565,195606,N,N,N,7129,7130,0.000000000000000,0
3565,195607,N,N,N,7129,7130,0.000000000000000,0
3565,195608,N,N,N,7129,7130,0.000000000000000,0
3565,195609,N,N,N,7129,7130,0.000000000000000,0
3565,195610,5,7,2,7129,7130,0.000000000000000,2
4587,195611,N,N,N,9158,9169,0.140186916000000,0
4629,195612,5,8,7,9218,9254,0.471962617000000,5
4626,195613,7,8,7,9217,9251,0.210280374000000,7
4629,195614,4,8,7,9218,9254,0.471962617000000,4
4626,195615,4,8,7,9217,9251,0.210280374000000,4
4629,195616,6,8,7,9218,9254,0.471962617000000,6
4626,195617,5,8,7,9217,9251,0.210280374000000,5
4629,195618,5,8,7,9218,9254,0.471962617000000,5
4626,195619,6,8,7,9217,9251,0.210280374000000,6
4629,195620,4,8,7,9218,9254,0.471962617000000,4
4626,195621,4,8,7,9217,9251,0.210280374000000,4
4629,195622,4,8,7,9218,9254,0.471962617000000,4
4626,195623,5,8,7,9217,9251,0.210280374000000,5
4626,195624,3,5,6,9217,9251,0.210280374000000,3
4589,195676,N,N,N,9158,9169,0.140186916000000,0
4593,195678,7,7,7,9167,9186,0.261682243000000,7
1277,195681,3,5,7,2548,2554,0.000000000000000,3
1423,195682,6,7,7,2534,2844,0.182242991000000,6
1425,195683,6,7,7,2538,2848,0.224299065000000,6
1423,195684,7,7,7,2534,2844,0.182242991000000,7
1425,195685,7,7,7,2538,2848,0.224299065000000,7
1425,195686,7,7,7,2538,2848,0.224299065000000,7
1423,195687,7,7,7,2534,2844,0.182242991000000,7
1425,195688,7,7,7,2538,2848,0.224299065000000,7
