XCoord,YCoord,START_NODE,END_NODE,EDGE
-116.94657600,32.64515900,184,166,92
-117.09793700,32.65179300,185,186,93
-117.09760600,32.65188300,186,185,93
-117.09760600,32.65188300,186,195,102
-117.09760600,32.65188300,186,195,103
-116.47411800,32.60831600,187,188,94
-116.47411800,32.60831600,187,188,95
-116.36564600,32.64797200,188,187,94
-116.36564600,32.64797200,188,187,95
-117.09839400,32.65325100,191,192,96
-117.09839400,32.65325100,191,192,97
-117.09815500,32.65330700,192,191,96
-117.09815500,32.65330700,192,191,97
-117.09815500,32.65330700,192,207,109
-117.07457800,32.65820700,195,171,98
-117.07457800,32.65820700,195,198,99
-117.07457800,32.65820700,195,198,100
-117.07457800,32.65820700,195,186,102
-117.07457800,32.65820700,195,186,103
-117.07457800,32.65820700,195,207,104
-117.07412300,32.65823100,198,195,99
-117.07412300,32.65823100,198,195,100
-117.07412300,32.65823100,198,174,101
-117.07412300,32.65823100,198,209,106
-117.07412300,32.65823100,198,214,107
-117.07412300,32.65823100,198,214,108
-117.07481700,32.65846300,207,195,104
-117.07481700,32.65846300,207,209,105
-117.07481700,32.65846300,207,192,109
-117.07481700,32.65846300,207,488,246
-117.07436600,32.65848600,209,207,105
-117.07436600,32.65848600,209,198,106
-117.07436600,32.65848600,209,327,164
-117.07436600,32.65848600,209,494,249
-117.07238000,32.65856300,214,198,107
-117.07238000,32.65856300,214,198,108
-117.07238000,32.65856300,214,220,110
-117.07038100,32.65932700,220,214,110
-117.07038100,32.65932700,220,322,161
-117.07038100,32.65932700,220,322,162
-117.03128900,32.66134200,222,174,111
-117.03128900,32.66134200,222,148,112
-117.03128900,32.66134200,222,322,163
-115.49707600,32.66481700,225,226,113
-115.49873600,32.66669100,226,225,113
-115.49858900,32.66669400,227,228,114
-115.49603000,32.66489700,228,227,114
-116.82340800,32.66801100,229,125,115
-116.82340800,32.66801100,229,125,116
-116.82340800,32.66801100,229,237,119
-116.82340800,32.66801100,229,539,271
-116.82340800,32.66801100,229,539,272
-116.29973100,32.66811200,233,234,117
-116.29973100,32.66811200,233,234,118
-116.29973100,32.66811200,233,239,121
-116.29973100,32.66811200,233,631,316
-116.36563800,32.64795900,234,233,117
-116.36563800,32.64795900,234,233,118
-116.88389700,32.63663200,237,229,119
-116.29010300,32.66911600,239,240,120
-116.29010300,32.66911600,239,233,121
-116.29010300,32.66911600,239,247,124
-116.10612600,32.64230700,240,239,120
-115.38799500,32.67275600,243,244,122
-115.38799500,32.67275600,243,244,123
-115.38799500,32.67275600,243,314,157
-115.38799500,32.67275600,243,314,158
-115.38799500,32.67275600,243,369,187
-115.38824900,32.67231800,244,243,122
-115.38824900,32.67231800,244,243,123
-116.29096600,32.67577900,247,239,124
-116.29097000,32.67579300,249,250,125
-116.29097000,32.67579300,249,250,126
-116.29122800,32.67690400,250,249,125
-116.29122800,32.67690400,250,249,126
-116.29122800,32.67690400,250,254,127
-116.29122800,32.67690400,250,256,128
-116.29122800,32.67690400,250,256,129
-116.29122800,32.67690400,250,689,346
-116.10579000,32.67156400,254,250,127
-116.10579000,32.67156400,254,570,285
-116.29135600,32.67735200,256,250,128
-116.29135600,32.67735200,256,250,129
-116.29135600,32.67735200,256,264,132
-116.29135600,32.67735200,256,264,133
-116.29135600,32.67735200,256,574,287
-116.29135600,32.67735200,256,699,351
-115.49868700,32.66668900,259,260,130
-115.49868700,32.66668900,259,260,131
-115.49866500,32.67746700,260,259,130
-115.49866500,32.67746700,260,259,131
-115.49866500,32.67746700,260,268,134
-115.49866500,32.67746700,260,268,135
-115.49866500,32.67746700,260,272,136
-115.49866500,32.67746700,260,272,137
-116.29157000,32.67802900,264,256,132
-116.29157000,32.67802900,264,256,133
-115.49856900,32.67896400,268,260,134
-115.49856900,32.67896400,268,260,135
-115.49856900,32.67896400,268,272,138
-115.49856900,32.67896400,268,272,139
-115.49856900,32.67896400,268,280,140
-115.49856900,32.67896400,268,280,141
-115.49856900,32.67896400,268,296,148
-115.49856900,32.67896400,268,296,149
-115.49873100,32.67896800,272,260,136
-115.49873100,32.67896800,272,260,137
-115.49873100,32.67896800,272,268,138
-115.49873100,32.67896800,272,268,139
-115.49873100,32.67896800,272,284,142
-115.49873100,32.67896800,272,284,143
-115.49873100,32.67896800,272,290,145
-115.49873100,32.67896800,272,290,146
-115.49857300,32.67911500,280,268,140
-115.49857300,32.67911500,280,268,141
-115.49857300,32.67911500,280,284,144
-115.49857300,32.67911500,280,296,150
-115.49857300,32.67911500,280,380,190
-115.49857300,32.67911500,280,380,191
-115.49874600,32.67911800,284,272,142
-115.49874600,32.67911800,284,272,143
-115.49874600,32.67911800,284,280,144
-115.49874600,32.67911800,284,290,147
-115.49874600,32.67911800,284,384,192
-115.49874600,32.67911800,284,384,193
-115.50568000,32.67911900,290,272,145
-115.50568000,32.67911900,290,272,146
-115.50568000,32.67911900,290,284,147
-115.50568000,32.67911900,290,302,151
-115.50568000,32.67911900,290,302,152
-115.48168600,32.67928000,296,268,148
-115.48168600,32.67928000,296,268,149
-115.48168600,32.67928000,296,280,150
-115.48168600,32.67928000,296,368,188
-115.48168600,32.67928000,296,368,189
-115.58585200,32.67921700,302,290,151
-115.58585200,32.67921700,302,290,152
-115.58585200,32.67921700,302,305,156
-115.65624600,32.67943500,305,306,153
-115.65624600,32.67943500,305,306,154
-115.65624600,32.67943500,305,302,156
-115.67138800,32.67903500,306,305,153
-115.67138800,32.67903500,306,305,154
-115.67138800,32.67903500,306,532,266
-115.67138800,32.67903500,306,532,267
-115.67138800,32.67903500,306,788,394
-115.67138800,32.67903500,306,788,395
-117.17573600,32.67962500,309,310,155
-117.17573600,32.67962500,309,387,194
-117.17573600,32.67962500,309,387,195
-117.13845900,32.62748800,310,309,155
-115.38575100,32.68287800,314,243,157
-115.38575100,32.68287800,314,243,158
-115.38575100,32.68287800,314,368,184
-117.01399000,32.68970200,318,166,159
-117.01522400,32.68988700,320,162,160
-117.01699400,32.69127100,322,220,161
-117.01699400,32.69127100,322,220,162
-117.01699400,32.69127100,322,222,163
-117.01699400,32.69127100,322,327,165
-117.01699400,32.69127100,322,442,221
-117.01699400,32.69127100,322,442,222
-117.01711600,32.69166800,327,209,164
-117.01711600,32.69166800,327,322,165
-117.01711600,32.69166800,327,418,209
-117.12322200,32.69093300,331,332,166
-117.12254800,32.69176900,332,331,166
-117.12254800,32.69176900,332,340,170
-117.12254800,32.69176900,332,340,171
-117.16880200,32.69192100,333,334,167
-117.16880200,32.69192100,333,334,168
-117.16880200,32.69192100,333,337,169
-117.16880200,32.69192100,333,437,219
-117.16407900,32.68868800,334,333,167
-117.16407900,32.68868800,334,333,168
-117.16407900,32.68868800,334,440,220
-117.16994900,32.69240800,337,333,169
-117.16994900,32.69240800,337,387,196
-117.16994900,32.69240800,337,399,200
-117.12173100,32.69281800,340,332,170
-117.12173100,32.69281800,340,332,171
-117.12173100,32.69281800,340,149,172
-117.12173100,32.69281800,340,149,173
-117.12173100,32.69281800,340,348,175
-117.12173100,32.69281800,340,348,176
-117.12173100,32.69281800,340,354,177
-117.12173100,32.69281800,340,354,178
-117.12331300,32.69099600,347,348,174
-117.12180400,32.69287600,348,347,174
-117.12180400,32.69287600,348,340,175
-117.12180400,32.69287600,348,340,176
-117.12180400,32.69287600,348,362,181
-117.12180400,32.69287600,348,510,258
-117.12180400,32.69287600,348,510,259
-117.12162100,32.69299300,354,340,177
-117.12162100,32.69299300,354,340,178
-117.12162100,32.69299300,354,153,179
-117.12162100,32.69299300,354,153,180
-117.12162100,32.69299300,354,362,182
-117.12162100,32.69299300,354,362,183
-117.12162100,32.69299300,354,470,237
-117.12162100,32.69299300,354,470,238
-117.12171900,32.69305900,362,348,181
-117.12171900,32.69305900,362,354,182
-117.12171900,32.69305900,362,354,183
-117.12171900,32.69305900,362,464,234
-117.12171900,32.69305900,362,521,264
-117.12171900,32.69305900,362,521,265
-115.37897700,32.69377400,368,314,184
-115.37897700,32.69377400,368,369,185
-115.37897700,32.69377400,368,369,186
-115.37897700,32.69377400,368,296,188
-115.37897700,32.69377400,368,296,189
-115.37883300,32.69377700,369,368,185
-115.37883300,32.69377700,369,368,186
-115.37883300,32.69377700,369,243,187
-115.37883300,32.69377700,369,456,230
-115.37883300,32.69377700,369,456,231
-115.37883300,32.69377700,369,730,365
-115.49910500,32.69400700,380,280,190
-115.49910500,32.69400700,380,280,191
-115.49910500,32.69400700,380,774,387
-115.49933300,32.69400800,384,284,192
-115.49933300,32.69400800,384,284,193
-115.49933300,32.69400800,384,545,274
-117.17477200,32.69445700,387,309,194
-117.17477200,32.69445700,387,309,195
-117.17477200,32.69445700,387,337,196
-117.17477200,32.69445700,387,393,199
-117.17477200,32.69445700,387,401,201
-117.17477200,32.69445700,387,401,202
-117.17482900,32.69448200,393,139,197
-117.17482900,32.69448200,393,139,198
-117.17482900,32.69448200,393,387,199
-117.17482900,32.69448200,393,409,205
-117.17482900,32.69448200,393,409,206
-117.17482900,32.69448200,393,420,210
-117.17482900,32.69448200,393,420,211
-117.17135100,32.69480100,399,337,200
-117.17135100,32.69480100,399,401,203
-117.17135100,32.69480100,399,401,204
-117.17392200,32.69587600,401,387,201
-117.17392200,32.69587600,401,387,202
-117.17392200,32.69587600,401,399,203
-117.17392200,32.69587600,401,399,204
-117.17392200,32.69587600,401,409,207
-117.17392200,32.69587600,401,409,208
-117.17392200,32.69587600,401,423,212
-117.17392200,32.69587600,401,423,213
-117.17398200,32.69590100,409,393,205
-117.17398200,32.69590100,409,393,206
-117.17398200,32.69590100,409,401,207
-117.17398200,32.69590100,409,401,208
-117.17398200,32.69590100,409,427,214
-117.17398200,32.69590100,409,427,215
-117.17398200,32.69590100,409,432,217
-117.17398200,32.69590100,409,432,218
