JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL,HEURISTIC
5204,215956,7,7,7,10340,10398,0.313084112,7.,0.6577735788205561
9808,216003,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9808,216004,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9729,216005,5,6,7,19444,19458,0.158878505,5.,0.541017434847541
9808,216006,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9808,216007,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9892,216008,N,N,N,19628,19783,0.121495327,0,0
9729,216009,N,N,N,19444,19458,0.158878505,0,0
9808,216010,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9718,216011,7,7,7,19308,19436,0.280373832,7.,0.6276427795113861
9716,216012,7,7,7,19310,19432,0.280373832,7.,0.6276427795113861
9716,216014,7,7,7,19310,19432,0.280373832,7.,0.6276427795113861
9721,216015,5,7,6,19434,19440,0.154205607,5.,0.5346949781277668
9717,216016,7,7,7,19432,19434,0.168224299,7.,0.4731544217605408
9808,216018,7,7,7,19454,19616,0.102803738,7.,0.3953066082567174
9743,216022,6,7,7,19476,19483,0.098130841,6.,0.4229804847494903
9778,216023,6,7,7,19465,19556,0,6.,0.37046526835197613
9778,216024,6,8,7,19465,19556,0,6.,0.37046526835197613
9778,216025,5,8,7,19465,19556,0,5.,0.4194743910444696
9650,216046,7,7,7,19231,19296,0.182242991,7.,0.4934722910427063
9599,216047,7,8,7,19068,19198,0.098130841,7.,0.3910948679484151
9648,216048,N,N,N,19295,19296,0.163551402,0,0
9628,216051,N,N,N,19236,19256,0.130841121,0,0
9544,216059,3,8,7,18974,19088,0,3.,0.5715453927214246
9533,216060,3,8,7,18968,19066,0,3.,0.5715453927214246
9478,216061,4,6,7,18946,18956,0.102803738,4.,0.5478177371307135
9478,216062,4,7,6,18946,18956,0.102803738,4.,0.5478177371307135
9487,216063,6,8,7,18962,18974,0.252336449,6.,0.6264912945887882
9484,216064,4,5,7,18956,18968,0.158878505,4.,0.6126338242279684
9484,216065,4,8,7,18956,18968,0.158878505,4.,0.6126338242279684
9487,216066,7,8,7,18962,18974,0.252336449,7.,0.594605677787713
9491,216067,6,8,7,18948,18962,0.214953271,6.,0.5741753375380128
9544,216068,6,8,7,18974,19088,0,6.,0.37046526835197613
9544,216069,5,8,7,18974,19088,0,5.,0.4194743910444696
9533,216070,6,8,7,18968,19066,0,6.,0.37046526835197613
9533,216071,7,8,7,18968,19066,0,7.,0.3385796515509009
9533,216072,3,8,7,18968,19066,0,3.,0.5715453927214246
9544,216073,2,8,7,18974,19088,0,2.,0.6146713529737379
9544,216074,5,6,6,18974,19088,0,5.,0.4194743910444696
9533,216075,7,6,6,18968,19066,0,6.,0.37046526835197613
9533,216076,6,7,6,18968,19066,0,6.,0.37046526835197613
9489,216077,N,N,N,18952,18958,0.177570093,0,0
9491,216078,N,N,N,18948,18962,0.214953271,0,0
9489,216079,4,7,7,18952,18958,0.177570093,4.,0.639127192025943
9489,216080,7,8,7,18952,18958,0.177570093,7.,0.48661606315194694
9491,216081,7,8,7,18948,18962,0.214953271,7.,0.5422897207369375
9489,216082,7,6,5,18952,18958,0.177570093,5.,0.5675108026455156
9491,216083,5,7,7,18948,18962,0.214953271,5.,0.6231844602305061
9534,216084,4,6,7,18974,19068,0.135514019,4.,0.5825525816073323
9486,216086,5,8,7,18944,18968,0.294392523,5.,0.7225718935746909
9486,216087,5,8,7,18944,18968,0.294392523,5.,0.7225718935746909
9544,216088,3,8,7,18974,19088,0,3.,0.5715453927214246
9533,216089,5,8,7,18968,19066,0,5.,0.4194743910444696
9533,216105,5,7,7,18968,19066,0,5.,0.4194743910444696
9394,216107,6,8,6,18774,18788,0.158878505,6.,0.4920083121550476
9382,216108,6,4,6,18628,18764,0.154205607,4.,0.6063113675081943
9382,216109,6,7,6,18628,18764,0.154205607,6.,0.48568585543527343
9472,216110,N,N,N,18862,18944,0.135514019,0,0
9387,216116,4,6,7,18764,18774,0.018691589,4.,0.49687242123858766
9167,216122,7,7,7,18262,18334,0.261682243,7.,0.6063216779515541
9246,216123,7,7,7,18454,18492,0,7.,0.3385796515509009
9167,216124,4,8,7,18262,18334,0.261682243,4.,0.7588328068255502
9246,216125,7,7,7,18454,18492,0,7.,0.3385796515509009
9227,216126,7,8,7,18334,18454,0.154205607,7.,0.45380023863419816
9298,216127,7,8,7,18454,18596,0.154205607,7.,0.45380023863419816
9298,216128,7,8,5,18454,18596,0.154205607,5.,0.5346949781277668
9167,216130,4,3,5,18262,18334,0.261682243,3.,0.8392874191220777
9168,216131,N,N,N,18268,18334,0.294392523,0,0
9167,216132,4,8,7,18262,18334,0.261682243,4.,0.7588328068255502
9298,216134,6,8,7,18454,18596,0.154205607,6.,0.48568585543527343
9298,216136,6,8,7,18454,18596,0.154205607,6.,0.48568585543527343
9298,216137,7,8,7,18454,18596,0.154205607,7.,0.45380023863419816
9167,216141,7,8,7,18262,18334,0.261682243,7.,0.6063216779515541
9167,216151,4,5,5,18262,18334,0.261682243,4.,0.7588328068255502
9134,216154,6,8,7,17764,18268,0.088785047,6.,0.4151102850670392
9130,216157,6,6,8,18084,18260,0.38317757,6.,0.7274265806825764
9135,216158,7,6,6,18260,18268,0.38317757,6.,0.7274265806825764
9042,216159,7,7,7,17690,18084,0.177570093,7.,0.48661606315194694
9042,216160,7,7,8,17690,18084,0.177570093,7.,0.48661606315194694
9134,216161,6,6,7,17764,18268,0.088785047,6.,0.4151102850670392
9134,216162,6,8,7,17764,18268,0.088785047,6.,0.4151102850670392
9168,216163,7,6,6,18268,18334,0.294392523,6.,0.6735627708821974
9042,216164,7,7,8,17690,18084,0.177570093,7.,0.48661606315194694
9135,216165,7,7,7,18260,18268,0.38317757,7.,0.6955409638815012
9135,216166,7,7,7,18260,18268,0.38317757,7.,0.6955409638815012
9135,216167,7,7,7,18260,18268,0.38317757,7.,0.6955409638815012
9130,216168,6,7,7,18084,18260,0.38317757,6.,0.7274265806825764
9135,216173,7,7,7,18260,18268,0.38317757,7.,0.6955409638815012
8286,216176,N,N,N,16424,16572,0.177570093,0,0
8296,216177,7,6,7,16572,16592,0.11682243,6.,0.4409558279701143
8345,216178,6,7,7,16657,16689,0.079439252,6.,0.4079566206142953
8743,216179,7,6,7,16974,17455,0.191588785,6.,0.5392426721241306
8743,216180,7,7,7,16974,17455,0.191588785,7.,0.5073570553230553
8143,216181,3,6,7,16040,16285,0.210280374,3.,0.7683120248367868
8020,216182,7,7,7,15740,16040,0.182242991,7.,0.4934722910427063
8020,216183,7,7,7,15740,16040,0.182242991,7.,0.4934722910427063
8071,216184,7,7,7,16141,16142,0,7.,0.3385796515509009
8071,216185,7,7,7,16141,16142,0,7.,0.3385796515509009
8399,216186,4,7,7,16786,16798,0.191588785,4.,0.6598681841970514
8034,216187,7,7,7,16040,16068,0,7.,0.3385796515509009
8096,216189,7,8,7,16141,16191,0.317757009,7.,0.6613460776483477
8292,216190,7,8,7,16572,16584,0.182242991,7.,0.4934722910427063
8292,216191,7,8,7,16572,16584,0.182242991,7.,0.4934722910427063
8292,216193,6,7,7,16572,16584,0.182242991,6.,0.5253579078437816
8292,216194,7,7,6,16572,16584,0.182242991,6.,0.5253579078437816
8743,216195,7,7,6,16974,17455,0.191588785,6.,0.5392426721241306
8303,216244,7,6,7,16592,16601,0.14953271,6.,0.47950733269131307
8300,216245,7,7,7,16592,16600,0.079439252,7.,0.37607100381322
8293,216248,6,7,6,16585,16586,0.14953271,6.,0.47950733269131307
7599,216249,7,7,6,15083,15135,0.280373832,6.,0.6595283963124614
6689,216252,N,N,N,13186,13376,0,0,0
6689,216253,N,N,N,13186,13376,0,0,0
6758,216254,4,7,6,13404,13515,0,4.,0.49109078042489707
6758,216255,5,7,7,13404,13515,0,5.,0.4194743910444696
6796,216256,5,7,7,13591,13592,0.308411215,5.,0.7349185123976066
6796,216257,5,7,7,13591,13592,0.308411215,5.,0.7349185123976066
6796,216258,5,7,8,13591,13592,0.308411215,5.,0.7349185123976066
6796,216259,5,7,8,13591,13592,0.308411215,5.,0.7349185123976066
6726,216260,4,7,7,13404,13452,0,4.,0.49109078042489707
6964,216263,N,N,N,13597,13927,0.247663551,0,0
6796,216321,5,5,7,13591,13592,0.308411215,5.,0.7349185123976066
6796,216322,7,7,7,13591,13592,0.308411215,7.,0.654023772904038
7259,216324,7,6,7,14242,14508,0.037383178,6.,0.3836350706297474
7627,216325,7,7,7,14550,15254,0,7.,0.3385796515509009
7627,216326,7,7,7,14550,15254,0,7.,0.3385796515509009
7627,216327,5,6,6,14550,15254,0,5.,0.4194743910444696
